Main_Genre,imdb_rating
Action,7.296666666666667
Adventure,7.438461538461539
Animation,7.345454545454545
Comedy,6.9381818181818184
Crime,6.7823529411764705
Drama,7.303333333333333
Family,6.63125
Fantasy,6.988888888888888
History,7.58
Horror,6.875
Music,6.822222222222222
Romance,6.8625
Sci-Fi,7.186
Sport,7.028571428571429
Thriller,7.104761904761905
War,7.6
